id,name,country,url,image,pdf
141,LONG-HAIRED PYRENEAN SHEEPDOG,FRANCE,http://www.fci.be/en/nomenclature/LONG-HAIRED-PYRENEAN-SHEEPDOG-141.html,http://www.fci.be/Nomenclature/Illustrations/141g01.jpg,http://www.fci.be/Nomenclature/Standards/141g01-en.pdf
142,SLOVAKIAN CHUVACH,SLOVAKIA,http://www.fci.be/en/nomenclature/SLOVAKIAN-CHUVACH-142.html,,http://www.fci.be/Nomenclature/Standards/142g01-en.pdf
143,DOBERMANN,GERMANY,http://www.fci.be/en/nomenclature/DOBERMANN-143.html,http://www.fci.be/Nomenclature/Illustrations/143g02.jpg,http://www.fci.be/Nomenclature/Standards/143g02-en.pdf
144,BOXER,GERMANY,http://www.fci.be/en/nomenclature/BOXER-144.html,http://www.fci.be/Nomenclature/Illustrations/144g02.jpg,http://www.fci.be/Nomenclature/Standards/144g02-en.pdf
145,LEONBERGER,GERMANY,http://www.fci.be/en/nomenclature/LEONBERGER-145.html,,http://www.fci.be/Nomenclature/Standards/145g02-en.pdf
146,RHODESIAN RIDGEBACK,SOUTH AFRICA,http://www.fci.be/en/nomenclature/RHODESIAN-RIDGEBACK-146.html,,http://www.fci.be/Nomenclature/Standards/146g06-en.pdf
147,ROTTWEILER,GERMANY,http://www.fci.be/en/nomenclature/ROTTWEILER-147.html,,http://www.fci.be/Nomenclature/Standards/147g02-en.pdf
148,DACHSHUND,GERMANY,http://www.fci.be/en/nomenclature/DACHSHUND-148.html,http://www.fci.be/Nomenclature/Illustrations/148g04-1.jpg,http://www.fci.be/Nomenclature/Standards/148g04-en.pdf
149,BULLDOG,GREAT BRITAIN,http://www.fci.be/en/nomenclature/BULLDOG-149.html,http://www.fci.be/Nomenclature/Illustrations/149g02.jpg,http://www.fci.be/Nomenclature/Standards/149g02-en.pdf
150,SERBIAN HOUND,SERBIA,http://www.fci.be/en/nomenclature/SERBIAN-HOUND-150.html,http://www.fci.be/Nomenclature/Illustrations/150g06.jpg,http://www.fci.be/Nomenclature/Standards/150g06-en.pdf
151,ISTRIAN SHORT-HAIRED HOUND,CROATIA,http://www.fci.be/en/nomenclature/ISTRIAN-SHORT-HAIRED-HOUND-151.html,http://www.fci.be/Nomenclature/Illustrations/151g06.jpg,http://www.fci.be/Nomenclature/Standards/151g06-en.pdf
152,ISTRIAN WIRE-HAIRED HOUND,CROATIA,http://www.fci.be/en/nomenclature/ISTRIAN-WIRE-HAIRED-HOUND-152.html,http://www.fci.be/Nomenclature/Illustrations/152g06.jpg,http://www.fci.be/Nomenclature/Standards/152g06-en.pdf
153,DALMATIAN,CROATIA,http://www.fci.be/en/nomenclature/DALMATIAN-153.html,http://www.fci.be/Nomenclature/Illustrations/153g06.jpg,http://www.fci.be/Nomenclature/Standards/153g06-en.pdf
154,POSAVATZ HOUND,CROATIA,http://www.fci.be/en/nomenclature/POSAVATZ-HOUND-154.html,http://www.fci.be/Nomenclature/Illustrations/154g06.jpg,http://www.fci.be/Nomenclature/Standards/154g06-en.pdf
155,BOSNIAN BROKEN-HAIRED HOUND - CALLED BARAK,BOSNIA AND HERZEGOVINA,http://www.fci.be/en/nomenclature/BOSNIAN-BROKEN-HAIRED-HOUND-CALLED-BARAK-155.html,http://www.fci.be/Nomenclature/Illustrations/155g06.jpg,http://www.fci.be/Nomenclature/Standards/155g06-en.pdf
156,COLLIE ROUGH,GREAT BRITAIN,http://www.fci.be/en/nomenclature/COLLIE-ROUGH-156.html,http://www.fci.be/Nomenclature/Illustrations/156g01.jpg,http://www.fci.be/Nomenclature/Standards/156g01-en.pdf
157,BULLMASTIFF,GREAT BRITAIN,http://www.fci.be/en/nomenclature/BULLMASTIFF-157.html,,http://www.fci.be/Nomenclature/Standards/157g02-en.pdf
158,GREYHOUND,GREAT BRITAIN,http://www.fci.be/en/nomenclature/GREYHOUND-158.html,http://www.fci.be/Nomenclature/Illustrations/158g10.jpg,http://www.fci.be/Nomenclature/Standards/158g10-en.pdf
159,ENGLISH FOXHOUND,GREAT BRITAIN,http://www.fci.be/en/nomenclature/ENGLISH-FOXHOUND-159.html,http://www.fci.be/Nomenclature/Illustrations/159g06.jpg,http://www.fci.be/Nomenclature/Standards/159g06-en.pdf
160,IRISH WOLFHOUND,IRELAND,http://www.fci.be/en/nomenclature/IRISH-WOLFHOUND-160.html,,http://www.fci.be/Nomenclature/Standards/160g10-en.pdf
161,BEAGLE,GREAT BRITAIN,http://www.fci.be/en/nomenclature/BEAGLE-161.html,http://www.fci.be/Nomenclature/Illustrations/161g06.jpg,http://www.fci.be/Nomenclature/Standards/161g06-en.pdf
162,WHIPPET,GREAT BRITAIN,http://www.fci.be/en/nomenclature/WHIPPET-162.html,http://www.fci.be/Nomenclature/Illustrations/162g10.jpg,http://www.fci.be/Nomenclature/Standards/162g10-en.pdf
163,BASSET HOUND,GREAT BRITAIN,http://www.fci.be/en/nomenclature/BASSET-HOUND-163.html,http://www.fci.be/Nomenclature/Illustrations/163g06.jpg,http://www.fci.be/Nomenclature/Standards/163g06-en.pdf
